Rk,Player,Tm,FantPos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,ScorTD,2PM,2PP,FantPT,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
273,Isaiah Bond,CLE,WR,21,10,2,0,0,0,0,0,2,17,8.5,0,33,13,181,13.92,0,0,0,0,,,20.0,32.8,35.8,26.3,,112,,2025
274,Mike Evans,TAM,WR,32,4,4,0,0,0,0,0,0,0,,0,32,14,140,10.0,1,0,0,1,,,20.0,34.0,37.0,27.0,,111,,2025
275,Terrance Ferguson,LAR,TE,22,9,1,0,0,0,0,0,1,0,0.0,0,12,5,138,27.6,1,0,0,1,,,20.0,24.8,27.8,22.3,,51,,2025
276,Tre Harris,LAC,WR,23,11,5,0,0,0,0,0,0,0,,0,20,16,137,8.56,1,0,0,1,,,20.0,35.7,38.7,27.7,,114,,2025
277,Elijah Moore,BUF,WR,25,9,2,0,0,0,0,0,6,24,4.0,1,17,9,112,12.44,0,0,0,1,,,20.0,28.6,31.6,24.1,,115,,2025
278,Tim Patrick,JAX,WR,32,10,2,0,0,0,0,0,0,0,,0,14,7,83,11.86,2,0,0,2,,,20.0,27.3,27.3,23.8,,110,,2025
279,Mitchell Tinsley,CIN,WR,26,11,1,0,0,0,0,0,0,0,,0,12,5,78,15.6,2,0,0,2,,,20.0,24.8,24.8,22.3,,113,,2025
280,Luke Farrell,SFO,TE,28,12,4,0,0,0,0,0,0,0,,0,13,11,85,7.73,2,1,1,2,,,19.0,29.5,30.5,24.0,,52,,2025
281,Miles Sanders,DAL,RB,28,4,0,0,0,0,0,0,20,117,5.85,1,8,8,30,3.75,0,1,1,1,,,19.0,26.7,30.7,22.7,,70,,2025
282,Isaac TeSlaa,DET,WR,23,11,1,0,0,0,0,0,0,0,,0,9,4,65,16.25,2,0,0,2,,,19.0,22.5,22.5,20.5,,116,,2025
283,Tank Bigsby,2TM,RB,24,11,0,0,0,0,0,0,23,176,7.65,0,1,1,-1,-1.0,0,0,0,0,,,18.0,18.5,21.5,18.0,,74,,2025
284,Ray Davis,BUF,RB,26,11,0,0,0,0,0,0,24,44,1.83,0,7,4,18,4.5,1,0,0,2,,,18.0,22.2,22.2,20.2,,71,,2025
285,Zay Jones,ARI,WR,30,8,0,0,0,0,0,0,0,0,,0,18,12,183,15.25,0,0,0,0,,,18.0,30.3,33.3,24.3,,118,,2025
286,Adonai Mitchell,2TM,WR,23,10,1,0,0,0,0,0,0,0,,0,29,12,204,17.0,0,1,1,0,,,18.0,30.4,34.4,24.4,,117,,2025
287,Keaton Mitchell,BAL,RB,23,7,0,0,0,0,0,0,23,134,5.83,0,6,5,44,8.8,0,1,0,0,,,18.0,22.8,25.8,20.3,,73,,2025
288,Josh Oliver,MIN,TE,28,9,3,0,0,0,0,0,0,0,,0,9,7,62,8.86,2,0,0,2,,,18.0,25.2,25.2,21.7,,53,,2025
289,Demarcus Robinson,SFO,WR,31,9,1,0,0,0,0,0,0,0,,0,24,13,163,12.54,0,0,0,0,1.0,,18.0,31.3,34.3,24.8,,119,,2025
290,Jeremy Ruckert,NYJ,TE,25,11,9,0,0,0,0,0,0,0,,0,16,14,119,8.5,1,0,0,1,,,18.0,31.9,34.9,24.9,,54,,2025
291,Ja'Tavion Sanders,CAR,TE,22,9,3,0,0,0,0,0,0,0,,0,30,25,176,7.04,0,0,0,0,,,18.0,42.6,45.6,30.1,,55,,2025
292,Zavier Scott,MIN,RB,26,10,0,0,0,0,0,0,21,69,3.29,0,12,10,73,7.3,1,2,1,1,,,18.0,28.2,29.2,23.2,,72,,2025
293,Jalen Coker,CAR,WR,24,6,2,0,0,0,0,0,0,0,,0,19,14,150,10.71,0,0,0,0,1.0,,17.0,31.0,34.0,24.0,,120,,2025
294,Brandin Cooks,NOR,WR,32,10,3,0,0,0,0,0,0,0,,0,25,19,165,8.68,0,0,0,0,,,17.0,35.5,38.5,26.0,,122,,2025
295,Mason Rudolph,PIT,QB,30,4,1,38,49,310,2,1,7,6,0.86,0,0,0,0,,0,1,1,0,,,17.0,17.0,22.0,18.0,,45,,2025
296,Kyle Williams,NWE,WR,23,12,0,0,0,0,0,0,1,-2,-2.0,0,12,4,110,27.5,1,0,0,1,,,17.0,20.8,23.8,18.8,,121,,2025
297,Joe Burrow,CIN,QB,29,2,2,21,36,189,2,0,2,3,1.5,0,0,0,0,,0,0,0,0,,,16.0,15.9,15.9,15.9,,46,,2025
298,Isaiah Hodgins,NYG,WR,27,2,1,0,0,0,0,0,0,0,,0,12,7,99,14.14,1,0,0,1,,,16.0,22.9,22.9,19.4,,123,,2025
299,Raheem Mostert,LVR,RB,33,8,0,0,0,0,0,0,20,92,4.6,0,9,9,63,7.0,0,0,0,0,,,16.0,24.5,24.5,20.0,,75,,2025
300,Jordan Whittington,LAR,WR,25,11,6,0,0,0,0,0,3,12,4.0,0,21,16,147,9.19,0,0,0,0,,,16.0,31.9,34.9,23.9,,124,,2025
301,Ashton Dulin,IND,WR,28,10,2,0,0,0,0,0,3,44,14.67,0,8,5,106,21.2,0,0,0,0,,,15.0,20.0,23.0,17.5,,126,,2025
302,Jerome Ford,CLE,RB,26,11,0,0,0,0,0,0,24,73,3.04,0,26,21,76,3.62,0,0,0,0,,,15.0,35.9,35.9,25.4,,76,,2025
303,Taysom Hill,NOR,TE,35,7,1,1,5,19,0,0,32,69,2.16,1,4,3,18,6.0,0,1,0,1,,,15.0,18.5,18.5,17.0,,56,,2025
